Chr7	19289422	19289422
Chr7	11887313	11887313
Chr6	26316358	26316358
Chr5	25157549	25157549
Chr5	25157551	25157551
Chr1	9937100	9937100
Chr5	3697423	3697423
Chr1	8396705	8396705
Chr9	19238623	19238623
Chr1	9884718	9884718
Chr6	11237486	11237486
Chr10	6543984	6543984
Chr2	4296779	4296779
Chr4	34878081	34878081
Chr7	586646	586646
Chr7	586670	586670
Chr4	22216999	22216999
Chr8	26661458	26661458
Chr3	1270482	1270482
Chr3	1270480	1270480
Chr5	25811348	25811348
Chr3	35042062	35042062
Chr3	20420882	20420882
Chr9	3758130	3758130
Chr8	27965391	27965391
Chr9	2512517	2512517
Chr2	18049488	18049488
Chr5	14701212	14701212
Chr6	31208436	31208436
Chr6	11244769	11244769
Chr3	14000748	14000748
Chr3	14000746	14000746
Chr1	28560363	28560363
Chr12	99758	99758
Chr5	4136174	4136174
Chr5	15051347	15051347
Chr2	8810238	8810238
Chr3	28906793	28906793
Chr3	25278492	25278492
Chr6	13677748	13677748
Chr5	287182	287182
Chr6	26316360	26316360
Chr8	12907107	12907107
Chr1	37233388	37233388
Chr3	33433016	33433016
Chr7	17409694	17409694
Chr7	17409696	17409696
Chr1	32476495	32476495
Chr1	41271931	41271931
Chr8	25859180	25859180
Chr2	26970065	26970065
Chr3	12480007	12480007
Chr1	34475433	34475433
Chr7	13500929	13500929
Chr4	3555517	3555517
Chr6	2260813	2260813
Chr1	9390368	9390368
Chr1	28143170	28143170
Chr1	28143172	28143172
Chr5	5336849	5336849
Chr1	22439222	22439222
Chr2	6606365	6606365
Chr10	13353164	13353164
Chr1	34606235	34606235
Chr8	22550527	22550527
Chr2	35885424	35885424
Chr3	13258331	13258331
Chr4	34826208	34826208
Chr6	1493171	1493171
Chr11	24642924	24642924
Chr11	24642926	24642926
Chr7	24129768	24129768
Chr2	12375131	12375131
Chr1	5260532	5260532
Chr1	5260533	5260533
Chr7	586668	586668
Chr8	26328530	26328530
Chr11	20031924	20031924
Chr6	24581919	24581919
Chr6	4442674	4442674
Chr2	7024171	7024171
Chr2	1788003	1788003
Chr6	20165516	20165516
Chr11	23938327	23938327
Chr9	19565641	19565641
Chr6	21066377	21066377
Chr1	40181559	40181559
Chr5	3492796	3492796
Chr5	27685576	27685576
Chr3	5287874	5287874
Chr3	1685549	1685549
Chr6	30127729	30127729
Chr5	14587983	14587983
Chr12	2012967	2012967
Chr5	17276966	17276966
Chr9	14052774	14052774
Chr10	16770284	16770284
Chr8	26661456	26661456
Chr5	17215888	17215888
Chr6	24581989	24581989
Chr4	27429755	27429755
Chr9	19238542	19238542
Chr3	13586885	13586885
Chr1	9917690	9917690
Chr1	26636794	26636794
Chr2	18310	18310
Chr8	25449927	25449927
Chr1	26816495	26816495
Chr2	24100236	24100236
Chr9	4208	4208
Chr6	3639395	3639395
Chr2	13063744	13063744
Chr5	14449742	14449742
Chr1	9019918	9019918
Chr5	4964828	4964828
Chr6	18145772	18145772
Chr9	20790111	20790111
Chr3	2883136	2883136
Chr3	2883134	2883134
Chr4	25194917	25194917
Chr9	20371044	20371044
Chr6	4691028	4691028
Chr2	29274321	29274321
Chr7	6108223	6108223
Chr9	16229207	16229207
Chr10	13353166	13353166
Chr2	28118451	28118451
Chr9	6671	6671
Chr5	11206162	11206162
Chr7	6823641	6823641
Chr7	6823642	6823642
Chr7	6823643	6823643
Chr7	6823644	6823644
Chr10	4788634	4788634
Chr2	25899691	25899691
Chr1	8387177	8387177
Chr3	31357419	31357419
Chr6	14504183	14504183
Chr2	24777891	24777891
Chr11	14018419	14018419
Chr3	20386827	20386827
